freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.714e+03,8.546e+01,1.356e+02,3.935e+03
1.5,2.964e+03,3.813e+02,1.977e+02,3.543e+03
3.0,1.045e+03,4.549e+02,1.568e+02,1.657e+03
4.5,1.251e+03,4.495e+02,1.551e+02,1.856e+03
6.0,2.180e+03,4.507e+02,1.427e+02,2.774e+03
7.5,3.083e+03,4.823e+02,1.375e+02,3.702e+03
9.0,4.092e+03,4.751e+02,1.611e+02,4.728e+03
10.5,5.305e+03,4.841e+02,1.591e+02,5.948e+03
12.0,6.689e+03,4.652e+02,1.401e+02,7.294e+03
13.5,8.084e+03,5.021e+02,1.402e+02,8.727e+03
15.0,9.596e+03,4.237e+02,1.713e+02,1.019e+04
16.5,1.147e+04,3.873e+02,1.669e+02,1.203e+04
18.0,1.365e+04,4.603e+02,1.527e+02,1.427e+04
19.5,1.637e+04,5.246e+02,1.634e+02,1.705e+04
21.0,1.926e+04,5.288e+02,1.789e+02,1.996e+04
22.5,2.102e+04,5.920e+02,1.787e+02,2.179e+04
24.0,2.295e+04,5.809e+02,1.859e+02,2.372e+04
25.5,2.531e+04,4.642e+02,1.936e+02,2.597e+04
27.0,2.840e+04,5.482e+02,1.855e+02,2.913e+04
28.5,3.190e+04,4.959e+02,1.916e+02,3.259e+04
30.0,3.592e+04,5.367e+02,2.150e+02,3.668e+04
31.5,4.143e+04,6.094e+02,2.149e+02,4.226e+04
33.0,4.786e+04,7.172e+02,2.158e+02,4.879e+04
34.5,5.291e+04,5.835e+02,2.141e+02,5.371e+04
36.0,5.673e+04,5.244e+02,2.158e+02,5.747e+04
37.5,6.164e+04,6.161e+02,2.095e+02,6.247e+04
39.0,6.732e+04,5.572e+02,2.333e+02,6.811e+04
40.5,7.322e+04,4.953e+02,2.480e+02,7.397e+04
42.0,8.060e+04,6.733e+02,2.183e+02,8.149e+04
43.5,8.870e+04,7.273e+02,2.501e+02,8.968e+04
45.0,9.707e+04,7.341e+02,2.739e+02,9.808e+04
46.5,1.069e+05,7.574e+02,2.889e+02,1.080e+05
48.0,1.165e+05,8.095e+02,3.146e+02,1.176e+05
49.5,1.264e+05,9.988e+02,3.260e+02,1.278e+05
51.0,1.370e+05,1.230e+03,3.712e+02,1.386e+05
52.5,1.507e+05,1.113e+03,4.331e+02,1.522e+05
54.0,1.681e+05,1.082e+03,4.337e+02,1.696e+05
55.5,1.882e+05,9.283e+02,4.595e+02,1.896e+05
57.0,2.098e+05,1.151e+03,5.298e+02,2.115e+05
58.5,2.310e+05,1.058e+03,6.065e+02,2.327e+05
60.0,2.465e+05,1.118e+03,6.867e+02,2.483e+05
61.5,2.562e+05,1.265e+03,8.413e+02,2.583e+05
63.0,2.775e+05,1.371e+03,1.002e+03,2.799e+05
64.5,3.088e+05,1.468e+03,1.160e+03,3.114e+05
66.0,3.423e+05,1.336e+03,1.292e+03,3.449e+05
67.5,3.758e+05,1.354e+03,1.294e+03,3.784e+05
69.0,4.095e+05,1.618e+03,1.436e+03,4.126e+05
70.4,4.541e+05,1.858e+03,1.935e+03,4.579e+05
71.9,5.136e+05,2.122e+03,2.516e+03,5.182e+05
73.4,5.843e+05,2.303e+03,3.060e+03,5.897e+05
74.9,6.822e+05,2.309e+03,3.493e+03,6.880e+05
76.4,8.073e+05,2.613e+03,4.099e+03,8.140e+05
77.9,9.798e+05,2.814e+03,5.117e+03,9.877e+05
79.4,1.186e+06,3.355e+03,6.490e+03,1.196e+06
80.9,1.451e+06,4.223e+03,8.735e+03,1.464e+06
82.4,1.858e+06,5.631e+03,1.219e+04,1.875e+06
83.9,2.400e+06,7.275e+03,1.728e+04,2.424e+06
85.4,3.181e+06,8.580e+03,2.731e+04,3.217e+06
86.9,4.642e+06,1.224e+04,4.738e+04,4.702e+06
88.4,7.380e+06,2.118e+04,8.848e+04,7.490e+06
89.9,1.434e+07,4.273e+04,2.043e+05,1.459e+07
91.4,3.438e+07,1.065e+05,5.343e+05,3.502e+07
92.9,5.318e+07,1.751e+05,8.734e+05,5.422e+07
94.4,5.124e+07,1.686e+05,9.309e+05,5.234e+07
95.9,4.268e+07,1.416e+05,8.681e+05,4.369e+07
97.4,3.610e+07,1.285e+05,8.234e+05,3.706e+07
98.9,2.923e+07,1.157e+05,7.459e+05,3.009e+07
100.4,2.300e+07,9.647e+04,6.422e+05,2.374e+07
101.9,1.784e+07,7.615e+04,5.492e+05,1.846e+07
103.4,1.399e+07,6.183e+04,4.771e+05,1.453e+07
104.9,1.122e+07,5.401e+04,4.148e+05,1.169e+07
106.4,9.072e+06,4.576e+04,3.609e+05,9.479e+06
107.9,7.389e+06,3.513e+04,3.156e+05,7.740e+06
109.4,6.092e+06,3.028e+04,2.854e+05,6.408e+06
110.9,5.277e+06,2.760e+04,2.756e+05,5.580e+06
112.4,4.637e+06,2.518e+04,2.740e+05,4.936e+06
113.9,4.053e+06,2.364e+04,2.742e+05,4.351e+06
115.4,3.553e+06,2.218e+04,2.800e+05,3.855e+06
116.9,3.107e+06,2.075e+04,2.888e+05,3.417e+06
118.4,2.786e+06,1.928e+04,3.159e+05,3.121e+06
119.9,2.609e+06,1.926e+04,3.734e+05,3.001e+06
121.4,2.459e+06,1.947e+04,4.766e+05,2.955e+06
122.9,2.306e+06,2.082e+04,6.674e+05,2.994e+06
124.4,2.150e+06,2.285e+04,1.033e+06,3.205e+06
125.9,1.907e+06,2.230e+04,1.419e+06,3.349e+06
127.4,1.631e+06,1.813e+04,1.262e+06,2.911e+06
128.9,1.507e+06,1.398e+04,7.299e+05,2.250e+06
130.4,1.499e+06,1.306e+04,3.456e+05,1.857e+06
131.9,1.306e+06,1.171e+04,1.489e+05,1.467e+06
133.4,4.397e+05,4.972e+03,3.390e+04,4.785e+05
134.9,3.185e+04,1.998e+03,1.915e+03,3.576e+04
136.4,1.794e+04,1.424e+03,8.469e+02,2.021e+04
137.9,2.023e+04,1.342e+03,6.315e+02,2.220e+04
139.4,1.941e+04,1.373e+03,4.951e+02,2.128e+04
140.9,1.822e+04,1.354e+03,4.101e+02,1.998e+04
142.4,1.925e+04,1.454e+03,3.735e+02,2.108e+04
143.9,1.962e+04,1.384e+03,4.606e+02,2.147e+04
145.4,1.858e+04,1.622e+03,5.718e+02,2.077e+04
146.9,2.036e+04,2.083e+03,6.865e+02,2.313e+04
148.4,1.951e+04,2.049e+03,8.023e+02,2.236e+04
149.9,2.106e+04,2.043e+03,8.735e+02,2.398e+04
151.4,2.145e+04,2.062e+03,9.189e+02,2.443e+04
152.9,2.411e+04,2.045e+03,1.066e+03,2.722e+04
154.4,2.447e+04,2.538e+03,1.290e+03,2.829e+04
155.9,2.597e+04,3.499e+03,1.751e+03,3.122e+04
157.4,2.804e+04,4.980e+03,2.477e+03,3.550e+04
158.9,2.512e+04,6.352e+03,2.664e+03,3.413e+04
160.4,1.993e+04,7.203e+03,2.475e+03,2.961e+04
161.9,1.506e+04,7.035e+03,1.837e+03,2.393e+04
163.4,1.332e+04,6.770e+03,1.313e+03,2.140e+04
164.9,1.480e+04,6.359e+03,1.215e+03,2.238e+04
166.4,1.486e+04,6.730e+03,1.252e+03,2.284e+04
167.9,2.123e+04,8.389e+03,1.782e+03,3.141e+04
169.4,2.607e+04,9.965e+03,2.541e+03,3.857e+04
170.9,3.512e+04,1.304e+04,4.242e+03,5.241e+04
172.4,4.457e+04,1.470e+04,6.161e+03,6.543e+04
173.9,4.397e+04,1.318e+04,6.524e+03,6.367e+04
175.4,4.342e+04,1.089e+04,7.142e+03,6.144e+04
176.9,4.263e+04,8.666e+03,7.803e+03,5.910e+04
178.4,3.649e+04,6.230e+03,7.871e+03,5.059e+04
179.9,2.363e+04,4.807e+03,7.097e+03,3.553e+04
181.4,1.675e+04,4.845e+03,5.265e+03,2.686e+04
182.9,8.712e+04,2.200e+04,3.583e+03,1.127e+05
184.4,2.298e+05,6.703e+04,6.711e+03,3.036e+05
185.9,3.022e+05,9.598e+04,9.850e+03,4.080e+05
187.4,2.857e+05,8.512e+04,9.741e+03,3.805e+05
188.9,2.169e+05,5.445e+04,6.611e+03,2.779e+05
190.4,1.277e+05,3.188e+04,2.761e+03,1.623e+05
191.9,9.026e+04,2.170e+04,1.839e+03,1.138e+05
193.4,1.319e+05,1.512e+04,4.164e+03,1.512e+05
194.9,1.422e+05,1.173e+04,6.113e+03,1.601e+05
196.4,1.305e+05,7.415e+03,5.567e+03,1.435e+05
197.9,8.017e+04,3.440e+03,3.257e+03,8.686e+04
199.4,4.321e+04,2.023e+03,1.497e+03,4.673e+04
