freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.740e+01,1.028e+03,2.839e+01,1.073e+03
1.5,3.448e+01,5.882e+02,5.902e+01,6.817e+02
3.0,3.027e+01,4.441e+01,5.739e+01,1.321e+02
4.5,3.003e+01,7.890e+02,6.083e+01,8.799e+02
6.0,3.158e+01,3.521e+03,5.352e+01,3.606e+03
7.4,3.071e+01,6.088e+03,6.025e+01,6.179e+03
8.9,3.454e+01,8.817e+03,6.852e+01,8.920e+03
10.4,3.355e+01,1.240e+04,7.572e+01,1.251e+04
11.9,3.748e+01,1.614e+04,9.722e+01,1.628e+04
13.4,3.929e+01,1.741e+04,8.917e+01,1.754e+04
14.9,3.225e+01,2.021e+04,6.785e+01,2.031e+04
16.4,3.387e+01,2.622e+04,6.227e+01,2.632e+04
17.9,3.411e+01,3.336e+04,7.055e+01,3.346e+04
19.4,3.615e+01,4.181e+04,8.674e+01,4.193e+04
20.8,4.000e+01,5.082e+04,7.761e+01,5.094e+04
22.3,3.937e+01,6.035e+04,7.028e+01,6.046e+04
23.8,3.509e+01,7.194e+04,6.136e+01,7.203e+04
25.3,3.792e+01,8.487e+04,6.767e+01,8.497e+04
26.8,4.149e+01,9.757e+04,1.036e+02,9.772e+04
28.3,4.329e+01,1.091e+05,1.606e+02,1.093e+05
29.8,4.636e+01,1.207e+05,1.787e+02,1.210e+05
31.3,4.181e+01,1.329e+05,1.632e+02,1.331e+05
32.7,4.398e+01,1.449e+05,1.492e+02,1.451e+05
34.2,4.364e+01,1.565e+05,1.644e+02,1.567e+05
35.7,5.606e+01,1.675e+05,2.099e+02,1.677e+05
37.2,1.205e+02,1.810e+05,2.850e+02,1.814e+05
38.7,2.200e+02,1.983e+05,3.402e+02,1.989e+05
40.2,3.243e+02,2.207e+05,3.293e+02,2.214e+05
41.7,4.436e+02,2.547e+05,3.473e+02,2.555e+05
43.2,5.268e+02,2.821e+05,3.282e+02,2.830e+05
44.7,5.168e+02,2.905e+05,2.377e+02,2.912e+05
46.1,4.972e+02,3.083e+05,1.753e+02,3.089e+05
47.6,4.459e+02,3.455e+05,1.819e+02,3.462e+05
49.1,3.712e+02,3.871e+05,2.277e+02,3.877e+05
50.6,3.300e+02,4.205e+05,2.864e+02,4.212e+05
52.1,3.407e+02,4.527e+05,3.614e+02,4.534e+05
53.6,3.523e+02,4.867e+05,4.508e+02,4.875e+05
55.1,3.466e+02,5.291e+05,5.095e+02,5.299e+05
56.6,3.737e+02,5.919e+05,5.696e+02,5.928e+05
58.1,4.545e+02,6.655e+05,6.395e+02,6.666e+05
59.5,5.428e+02,7.496e+05,7.076e+02,7.509e+05
61.0,5.760e+02,8.318e+05,7.267e+02,8.331e+05
62.5,5.730e+02,9.713e+05,6.653e+02,9.725e+05
64.0,6.684e+02,1.188e+06,5.804e+02,1.189e+06
65.5,1.009e+03,1.556e+06,6.751e+02,1.558e+06
67.0,1.301e+03,2.064e+06,1.007e+03,2.067e+06
68.5,1.363e+03,2.859e+06,1.603e+03,2.862e+06
70.0,1.055e+03,3.749e+06,2.690e+03,3.752e+06
71.5,7.534e+02,4.383e+06,3.778e+03,4.388e+06
72.9,8.230e+02,4.651e+06,4.494e+03,4.657e+06
74.4,1.268e+03,4.304e+06,4.710e+03,4.310e+06
75.9,1.689e+03,3.475e+06,4.390e+03,3.481e+06
77.4,1.304e+03,2.439e+06,3.508e+03,2.444e+06
78.9,6.631e+02,1.906e+06,3.018e+03,1.910e+06
80.4,3.644e+02,1.690e+06,2.769e+03,1.693e+06
81.9,3.658e+02,1.628e+06,3.174e+03,1.632e+06
83.4,4.269e+02,1.600e+06,3.679e+03,1.604e+06
84.8,3.119e+02,1.430e+06,3.477e+03,1.434e+06
86.3,3.345e+02,1.320e+06,3.266e+03,1.324e+06
87.8,5.827e+02,1.209e+06,3.060e+03,1.212e+06
89.3,1.288e+03,1.000e+06,2.100e+03,1.003e+06
90.8,2.755e+03,8.036e+05,1.254e+03,8.076e+05
92.3,4.593e+03,6.726e+05,8.200e+02,6.780e+05
93.8,7.205e+03,5.781e+05,7.049e+02,5.860e+05
95.3,1.239e+04,4.631e+05,5.822e+02,4.761e+05
96.8,2.021e+04,3.482e+05,6.687e+02,3.690e+05
98.2,3.084e+04,2.548e+05,1.085e+03,2.868e+05
99.7,3.497e+04,2.076e+05,1.797e+03,2.444e+05
101.2,3.099e+04,1.851e+05,2.515e+03,2.186e+05
102.7,2.588e+04,1.716e+05,3.064e+03,2.006e+05
104.2,2.169e+04,1.672e+05,3.459e+03,1.923e+05
105.7,1.905e+04,1.628e+05,3.889e+03,1.857e+05
