freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.310e+03,3.505e+01,1.819e+02,3.527e+03
1.5,2.483e+03,1.714e+02,2.216e+02,2.876e+03
3.0,7.604e+02,1.856e+02,1.720e+02,1.118e+03
4.5,1.025e+03,1.527e+02,1.816e+02,1.359e+03
6.0,2.121e+03,1.696e+02,1.754e+02,2.465e+03
7.5,3.149e+03,1.944e+02,1.929e+02,3.536e+03
9.1,3.817e+03,2.460e+02,2.234e+02,4.286e+03
10.6,4.846e+03,2.905e+02,2.040e+02,5.341e+03
12.1,6.207e+03,2.475e+02,1.760e+02,6.630e+03
13.6,7.746e+03,2.609e+02,1.876e+02,8.194e+03
15.1,9.344e+03,2.405e+02,2.394e+02,9.824e+03
16.6,1.131e+04,2.342e+02,2.020e+02,1.174e+04
18.1,1.349e+04,2.126e+02,2.000e+02,1.390e+04
19.6,1.642e+04,2.275e+02,2.325e+02,1.688e+04
21.1,1.976e+04,2.714e+02,2.200e+02,2.025e+04
22.6,2.256e+04,3.082e+02,2.164e+02,2.309e+04
24.2,2.488e+04,3.089e+02,1.937e+02,2.538e+04
25.7,2.798e+04,3.250e+02,2.008e+02,2.851e+04
27.2,3.084e+04,3.521e+02,2.307e+02,3.143e+04
28.7,3.439e+04,3.266e+02,2.382e+02,3.495e+04
30.2,3.912e+04,3.106e+02,2.343e+02,3.967e+04
31.7,4.510e+04,3.290e+02,2.376e+02,4.567e+04
33.2,5.170e+04,3.909e+02,2.701e+02,5.236e+04
34.7,5.742e+04,4.001e+02,2.873e+02,5.810e+04
36.2,6.264e+04,4.730e+02,3.536e+02,6.347e+04
37.7,6.766e+04,4.908e+02,4.275e+02,6.858e+04
39.3,7.391e+04,4.362e+02,4.224e+02,7.477e+04
40.8,8.132e+04,3.880e+02,3.964e+02,8.211e+04
42.3,8.886e+04,4.343e+02,3.449e+02,8.964e+04
43.8,9.781e+04,4.775e+02,3.132e+02,9.861e+04
45.3,1.086e+05,4.812e+02,3.675e+02,1.094e+05
46.8,1.194e+05,4.583e+02,3.558e+02,1.202e+05
48.3,1.315e+05,4.289e+02,3.044e+02,1.322e+05
49.8,1.448e+05,4.690e+02,3.223e+02,1.456e+05
51.3,1.587e+05,5.073e+02,3.736e+02,1.596e+05
52.8,1.743e+05,5.207e+02,4.182e+02,1.752e+05
54.4,1.938e+05,5.972e+02,4.984e+02,1.949e+05
55.9,2.153e+05,6.639e+02,5.969e+02,2.166e+05
57.4,2.412e+05,7.074e+02,7.089e+02,2.426e+05
58.9,2.638e+05,6.462e+02,8.436e+02,2.653e+05
60.4,2.794e+05,5.901e+02,1.136e+03,2.812e+05
61.9,3.005e+05,5.346e+02,1.435e+03,3.024e+05
63.4,3.302e+05,5.413e+02,1.709e+03,3.325e+05
64.9,3.669e+05,5.484e+02,1.914e+03,3.693e+05
66.4,4.086e+05,6.051e+02,2.157e+03,4.113e+05
67.9,4.623e+05,6.990e+02,2.502e+03,4.655e+05
69.5,5.273e+05,8.089e+02,3.012e+03,5.311e+05
71.0,6.062e+05,7.346e+02,4.038e+03,6.110e+05
72.5,6.883e+05,5.899e+02,4.931e+03,6.938e+05
74.0,7.515e+05,5.767e+02,5.917e+03,7.580e+05
75.5,8.117e+05,5.589e+02,7.275e+03,8.196e+05
77.0,9.536e+05,6.198e+02,9.168e+03,9.634e+05
78.5,1.168e+06,4.923e+02,1.197e+04,1.180e+06
80.0,1.410e+06,4.872e+02,1.564e+04,1.426e+06
81.5,1.756e+06,4.788e+02,2.210e+04,1.778e+06
83.0,2.284e+06,3.948e+02,3.327e+04,2.318e+06
84.5,2.985e+06,4.319e+02,4.839e+04,3.034e+06
86.1,4.203e+06,5.893e+02,7.403e+04,4.277e+06
87.6,6.721e+06,1.103e+03,1.354e+05,6.857e+06
89.1,1.159e+07,4.273e+03,2.825e+05,1.188e+07
90.6,2.202e+07,1.249e+04,6.440e+05,2.268e+07
92.1,3.833e+07,2.191e+04,1.273e+06,3.962e+07
93.6,4.806e+07,2.680e+04,1.801e+06,4.988e+07
95.1,4.964e+07,2.666e+04,2.068e+06,5.174e+07
96.6,4.418e+07,2.750e+04,2.053e+06,4.626e+07
98.1,3.469e+07,2.539e+04,1.828e+06,3.654e+07
99.6,2.518e+07,2.485e+04,1.457e+06,2.666e+07
101.2,1.926e+07,2.663e+04,1.217e+06,2.050e+07
102.7,1.524e+07,2.713e+04,1.078e+06,1.635e+07
104.2,1.194e+07,2.395e+04,9.385e+05,1.290e+07
105.7,9.379e+06,2.018e+04,8.002e+05,1.020e+07
107.2,7.130e+06,1.751e+04,6.540e+05,7.802e+06
108.7,5.654e+06,1.748e+04,5.584e+05,6.230e+06
110.2,5.085e+06,1.771e+04,5.492e+05,5.652e+06
111.7,4.566e+06,1.670e+04,5.419e+05,5.124e+06
113.2,3.690e+06,1.329e+04,4.767e+05,4.180e+06
114.7,2.723e+06,1.030e+04,4.052e+05,3.138e+06
116.3,2.027e+06,9.915e+03,3.742e+05,2.411e+06
117.8,1.389e+06,1.082e+04,3.142e+05,1.714e+06
119.3,5.208e+05,1.283e+04,1.313e+05,6.649e+05
120.8,7.943e+04,1.472e+04,2.936e+04,1.235e+05
122.3,3.181e+04,1.587e+04,3.704e+04,8.473e+04
