freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.535e+01,5.476e+02,5.587e+01,6.288e+02
1.5,7.411e+01,7.094e+02,1.287e+02,9.123e+02
3.0,8.214e+01,6.038e+02,1.287e+02,8.147e+02
4.5,6.493e+01,1.161e+03,1.268e+02,1.352e+03
6.0,6.524e+01,2.016e+03,1.159e+02,2.197e+03
7.5,7.666e+01,3.014e+03,1.103e+02,3.201e+03
9.0,6.578e+01,3.829e+03,1.124e+02,4.007e+03
10.5,6.619e+01,4.917e+03,1.026e+02,5.085e+03
12.0,6.211e+01,6.238e+03,8.977e+01,6.390e+03
13.5,6.250e+01,7.239e+03,8.817e+01,7.390e+03
15.1,7.070e+01,8.706e+03,7.939e+01,8.857e+03
16.6,6.108e+01,1.049e+04,7.587e+01,1.063e+04
18.1,5.895e+01,1.257e+04,7.693e+01,1.271e+04
19.6,6.019e+01,1.485e+04,7.062e+01,1.498e+04
21.1,5.707e+01,1.714e+04,6.270e+01,1.726e+04
22.6,6.351e+01,1.936e+04,5.773e+01,1.948e+04
24.1,7.768e+01,2.197e+04,5.741e+01,2.211e+04
25.6,7.285e+01,2.484e+04,5.597e+01,2.497e+04
27.1,6.159e+01,2.791e+04,4.897e+01,2.802e+04
28.6,5.431e+01,3.142e+04,4.802e+01,3.152e+04
30.1,4.834e+01,3.605e+04,5.057e+01,3.615e+04
31.6,5.448e+01,4.104e+04,5.004e+01,4.114e+04
33.1,6.270e+01,4.514e+04,5.393e+01,4.526e+04
34.6,6.426e+01,4.875e+04,5.097e+01,4.887e+04
36.1,5.870e+01,5.237e+04,4.869e+01,5.248e+04
37.6,5.098e+01,5.648e+04,5.231e+01,5.659e+04
39.1,4.985e+01,6.072e+04,5.260e+01,6.082e+04
40.6,4.861e+01,6.277e+04,5.647e+01,6.287e+04
42.1,4.383e+01,6.387e+04,5.548e+01,6.397e+04
43.7,5.106e+01,6.636e+04,4.866e+01,6.646e+04
45.2,5.949e+01,7.078e+04,5.823e+01,7.090e+04
46.7,5.878e+01,7.740e+04,6.699e+01,7.753e+04
48.2,5.116e+01,8.422e+04,7.276e+01,8.435e+04
49.7,4.625e+01,9.025e+04,1.018e+02,9.040e+04
51.2,5.524e+01,9.821e+04,1.246e+02,9.839e+04
52.7,5.349e+01,1.080e+05,1.432e+02,1.082e+05
54.2,5.947e+01,1.166e+05,1.566e+02,1.169e+05
55.7,5.859e+01,1.251e+05,1.542e+02,1.253e+05
57.2,5.524e+01,1.347e+05,1.486e+02,1.349e+05
